ID,이름,위도,경도,분류코드,지역코드
124,비야본점,37.58826097,127.0294602,1,1
125,[백년가게]삼거리 먼지막 순대국,37.49173666,126.9072019,1,1
126,종각한우,37.57095384,126.9843898,1,1
127,우리강산,37.51316581,127.1224928,1,1
128,또순이원조순대,37.48335191,126.928789,1,1
129,세미계,37.53349184,127.001867,1,1
130,오우가,37.56198826,126.9872287,1,1
131,원조할머니두부집,37.60817403,126.9575829,1,1
132,미진,37.57084821,126.9798041,1,1
133,[백년가게]하나로회관,37.57209261,126.9853702,1,1
134,낙지한마당,37.52177796,126.9266298,1,1
135,전주유할머니비빔밥,37.56298799,126.9783378,1,1
136,백제삼계탕,37.56338805,126.9840706,1,1
137,백곰막걸리,37.52600167,127.0371085,1,1
138,박석고개,37.5817723,126.9995714,1,1
139,진향족발,37.57135691,127.0035547,1,1
140,마포소문난원조족발,37.54477299,126.9532295,1,1
141,강강술래 신림동,37.48455188,126.9350273,1,1
142,뉘조,37.57516447,126.9851868,1,1
143,삼대할먼네,37.56290254,127.0147678,1,1
144,뚱보네홍어,37.51054566,126.9115454,1,1
145,통돼지두루치기,37.57079313,127.0057156,1,1
146,함흥냉면,37.51904459,126.9068011,1,1
147,뱃고동,37.52681826,127.0380278,1,1
148,옛날민속집1호점,37.60653816,126.9603604,1,1
149,한라의집,37.57136474,126.9753878,1,1
150,종가집,37.57205929,126.9859146,1,1
151,진주집,37.52078642,126.9269103,1,1
152,민속막국수족발,37.62494914,126.9173861,1,1
153,파전집,37.57252876,126.9900031,1,1
154,성수족발,37.54599411,127.0542647,1,1
155,일방통행 국물즉석떡볶이&화덕피자,37.52831687,127.1244366,1,1
156,인사동 옥정,37.57480618,126.9850591,1,1
157,이문설농탕,37.57281195,126.9839287,1,1
158,[백년가게]장군숯불족발,37.61503902,127.0632175,1,1
159,한가람,37.56257416,126.9789461,1,1
160,진사댁,37.56352692,126.984065,1,1
161,칠형제우리감자탕,37.62107185,127.0741608,1,1
162,희락갈치,37.55995499,126.9770908,1,1
163,성북동집,37.59453186,126.9957131,1,1
164,맛보래즉석떡볶이,37.57190376,126.986284,1,1
165,부일갈비,37.4839007,127.0196807,1,1
166,명동무등산정육식당,37.56258816,126.9851927,1,1
167,참누렁소가든,37.63493684,127.0705524,1,1
168,눈나무집,37.5874741,126.9818701,1,1
169,명동서서갈비,37.56257429,126.9860121,1,1
170,수담한정식,37.51050919,127.0459776,1,1
171,포도식당,37.52449334,127.0270345,1,1
172,성북동돼지갈비,37.59327923,126.9960464,1,1
173,삼정집,37.55900827,126.8439279,1,1
174,다락정,37.58731855,126.9815007,1,1
175,평안도족발집,37.56034157,127.0060826,1,1
176,제일콩집,37.61957764,127.0776771,1,1
177,무등산,37.52195497,127.0399334,1,1
178,도깨비불고기,37.56776296,127.0078016,1,1
179,진남포면옥,37.55342856,127.0101241,1,1
180,고요남 명동,37.56181045,126.9842012,1,1
181,마포왕갈비,37.54272025,126.9420417,1,1
182,수가,37.56175496,126.9874981,1,1
183,오향족발,37.54457857,126.9533434,1,1
184,춘천집닭갈비막국수,37.55704626,126.9360752,1,1
185,동대문본가가마솥설렁탕,37.57205141,127.011054,1,1
186,하니칼국수,37.56623553,127.0171925,1,1
187,이모집,37.57500614,126.9843203,1,1
188,평래옥,37.56490187,126.99037,1,1
189,신가네왕코등갈비 용두동,37.57418486,127.031066,1,1
190,토속촌삼계탕,37.57761672,126.9715936,1,1
191,낙원떡집,37.57384523,126.9879366,1,1
192,원조홍어,37.51067065,126.9117342,1,1
193,자인뭉티기,37.48522299,127.0321379,1,1
194,청해진,37.51454563,126.9355903,1,1
195,서북면옥,37.54540862,127.0853174,1,1
196,오라이등심,37.57023756,127.0014244,1,1
197,청수횟집,37.50128228,127.0349566,1,1
198,수빈,37.57185839,126.9343166,1,1
199,삼대나주곰탕 명동,37.56512673,126.9841983,1,1
200,화포식당 시청,37.56184367,126.9776546,1,1
201,GOO STK 733,37.53775511,126.994937,2,1
202,슈타인도르프,37.51297393,127.109419,2,1
203,카페 그레뱅,37.5662432,126.9803903,2,1
204,레스토랑담,37.57369522,126.9860396,2,1
205,라세느 롯데호텔서울,37.56547943,126.9816347,2,1
206,두에꼬제,37.59266265,126.9966686,2,1
207,베네베네 2010,37.52286327,127.0437996,2,1
208,타볼로24,37.57037101,127.0087987,2,1
209,비노인빌라,37.4808398,127.0116704,2,1
210,빠네파스타 종로,37.57838884,126.970988,2,1
211,알마또,37.54237943,126.9873209,2,1
212,텍사스 데 브라질(Texas de Brazil),37.50447032,127.0078368,2,1
213,레드브릭,37.49783482,126.9993961,2,1
214,할랄가이즈 홍대,37.55699048,126.9233374,2,1
215,브루클린더버거조인트,37.4972988,127.0007265,2,1
216,노바이탈리아노,37.59341913,127.0529413,2,1
217,Black Lab,37.50677079,127.0490941,2,1
218,서강팔경,37.54500857,126.9253709,2,1
219,더플레이스다이닝,37.55110899,126.9878984,2,1
220,두가헌,37.57730024,126.9798039,2,1
221,포폴라리타,37.49775703,126.9978157,2,1
222,수와래,37.58271632,126.9820286,2,1
223,까델루뽀,37.58179957,126.971349,2,1
224,아이해브어드림,37.49924909,127.0292683,2,1
225,씨태번,37.5618133,126.9879897,2,1
226,할랄가이즈 강남,37.50190703,127.0246575,2,1
227,할랄가이즈 이태원,37.53476101,126.9947927,2,1
228,갓잇(god eat),37.50963547,127.1113161,2,1
229,마켓오 압구정,37.52160216,127.0354949,2,1
230,"랩24 (LAB24, LAB XXIV)",37.5273737,127.0352781,2,1
231,구텐,37.52822908,126.8757898,2,1
232,한스갤러리,37.60418634,126.9985376,2,1
233,에프터워크33,37.5766283,126.991114,2,1
234,우첼로 더케이호텔서울,37.46633353,127.0328439,2,1
235,그릭조이,37.54825521,126.9137747,2,1
236,요리하는남자,37.51088201,127.0818632,2,1
237,뽐모도로,37.57112588,126.9756378,2,1
238,칵테일앤드림,37.48373799,126.9294667,2,1
239,쌀레 에 뻬뻬,37.58193624,127.0035127,2,1
240,아르모니움,37.53382791,127.0017365,2,1
241,카페드파리,37.56210489,126.9856316,2,1
242,탭퍼블릭,37.57095101,126.9814151,2,1
243,살롱순라,37.5742397,126.9917057,2,1
244,포르시따,37.5614448,127.0384851,2,1
245,밴건디스테이크하우스,37.49940683,126.9977684,2,1
246,촛불1978,37.55678606,126.9853262,2,1
247,라미띠에,37.52602681,127.044605,2,1
248,골든불,37.53706364,127.0013587,2,1
249,더블린,37.50211814,127.0260935,2,1
250,이태리문 대학로,37.58278336,127.0031878,2,1
251,트레비아,37.53469704,126.9901736,2,1
252,스케줄청담,37.52469359,127.0426969,2,1
253,목포산꽃게찜,37.56783862,127.0450788,2,1
254,비스테까,37.54012978,126.9921483,2,1
255,달리나인,37.50573402,127.0058619,2,1
256,세상의모든아침,37.52223057,126.9199582,2,1
257,고래의숲,37.58369991,127.0028267,2,1
258,맘마쿡,37.52062489,126.9025903,2,1
259,금왕돈까스,37.59482347,126.9943688,2,1
260,더레스토랑,37.5807443,126.9806982,2,1
261,멜팅샵,37.52505455,127.0362003,2,1
262,디마떼오,37.58000869,127.0039017,2,1
263,떼아떼베네,37.56968457,126.9858814,2,1
264,다뉴브,37.56783461,126.976249,2,1
265,고티(Goatee),37.53999231,127.0699329,2,1
266,퀸즈파크 반포서래점,37.49386017,126.9927746,2,1
267,파라다이스,37.52286144,126.9415645,2,1
268,옥인피자,37.58093571,126.9673383,2,1
269,모짜(MOZZA),37.59305706,126.9975352,2,1
270,미 피아체,37.52452977,127.0450273,2,1
