ID,이름,위도,경도,지역코드
413,제주 스위트호텔,33.24907846,126.4083582,3
414,제주 금강산콘도,33.37958655,126.2502663,3
415,서머셋 제주신화월드,33.30291831,126.3175482,3
416,귤익는마을,33.34411112,126.8501206,3
417,엘린호텔 [한국관광 품질인증/Korea Quality],33.48930328,126.4954619,3
418,틸다하우스  [한국관광 품질인증/Korea Quality],33.31094949,126.2371217,3
419,라오체리조트,33.23712561,126.4962675,3
420,제주 그랑빌펜션,33.25641942,126.4152741,3
421,사조리조트 제주,33.55178305,126.7051312,3
422,소노벨 제주,33.54020879,126.6713316,3
423,애월해안누리(구 하얀둥지),33.47056681,126.3416563,3
424,그림리조트,33.51621432,126.503494,3
425,제주이도펜션(구 제주펜트하우스),33.25527629,126.4901454,3
426,제주아이브리조트,33.28880601,126.4961303,3
427,클럽다인리조트,33.47147519,126.3512638,3
428,제주 칼 호텔,33.50565197,126.5264922,3
429,제주마중,33.38925461,126.230365,3
430,더쉼팡스파앤풀빌라,33.31218056,126.8037087,3
431,하와이관광호텔,33.48313446,126.4914707,3
432,이어도성 펜션,33.25507795,126.417935,3
433,씨에스 호텔&리조트,33.24291821,126.419824,3
434,제주 펄 관광호텔,33.48359273,126.4908986,3
435,스테리나잇 제주 [한국관광 품질인증/Korea Quality],33.46220616,126.3122813,3
436,제주펜션 향림원,33.24375697,126.5932118,3
437,담앤루리조트,33.24588505,126.4515573,3
438,더 세리 호스텔 [한국관광 품질인증/Korea Quality],33.24700532,126.5120659,3
439,베니키아 홈 더 제주리조트,33.37837837,126.2513107,3
440,비치스토리호텔 [한국관광 품질인증/Korea Quality],33.54209737,126.6653432,3
441,씨오르리조트,33.24249481,126.5185572,3
442,샤뜰레 펜션,33.24839155,126.5288645,3
443,비스타리조트,33.50306782,126.4575927,3
444,제주로얄호텔,33.4885172,126.4916706,3
445,동박생이,33.55847539,126.7927873,3
446,소노캄 제주(구 샤인빌 리조트),33.30604217,126.792907,3
447,루체빌리조트,33.3199036,126.3851809,3
448,제주향,33.26286314,126.4139241,3
449,제주 스카브로호텔,33.2341295,126.3699424,3
450,관음사가는길펜션,33.43754884,126.5544691,3
451,바다에누워 펜션,33.26968847,126.6578361,3
452,서귀포 귤림성,33.25031923,126.5360194,3
453,라헨느리조트,33.45228151,126.6152468,3
454,보물섬펜션,33.4664517,126.9317051,3
455,한화리조트 제주,33.44885725,126.6380671,3
