ID,이름,위도,경도,지역코드
444,서울 용산신학교와 원효로 예수성심성당,37.5344186461,126.9537436297,1
445,서울 고려대학교 본관,37.5894664364,127.0322710260,1
446,서울 암사동 유적,37.5605132450,127.1309239757,1
447,몽마르뜨공원,37.4955435016,127.0037401743,1
448,사직공원(서울),37.5757085419,126.9676800810,1
449,충익공신경진묘역,37.5961975185,127.1049169938,1
450,승동교회,37.5712538383,126.9863146199,1
451,새남터기념성당,37.5249586869,126.9567186255,1
452,순정효황후윤씨친가,37.5586776601,126.9939920541,1
453,숭인근린공원,37.5765176820,127.0178504854,1
454,봉국사(서울),37.6057001931,127.0062951545,1
455,서울 연세대학교 스팀슨관,37.5659535914,126.9381636030,1
456,서울 신림동 굴참나무,37.4710197967,126.9169737649,1
457,서울창포원,37.6893801026,127.0481278444,1
458,경복궁,37.5788222356,126.9769930325,1
459,영등포 신길동 홍어거리,37.5105456646,126.9115453697,1
460,황학정,37.5776027007,126.9640359154,1
461,창의문(자하문),37.5926982124,126.9665047068,1
462,양화진외국인선교사묘원(외인묘지),37.5465275879,126.9111804997,1
463,인사동,37.5754310780,126.9833758804,1
464,수락산 학림사,37.6821398057,127.0773476077,1
465,시그니엘서울 에비앙 스파,37.5126238510,127.1025779177,1
466,오휘&후스파명동,37.5621104492,126.9858871398,1
467,서빙고동 부군당,37.5204876354,126.9930487758,1
468,평화열차 DMZ 트레인,37.5325606870,126.9626234290,1
469,독립관,37.5730642335,126.9581338041,1
470,독립문,37.5746640029,126.9556423190,1
471,서울 경모궁지,37.5807946333,126.9994992588,1
472,보광사 보광선원(서울),37.6500533176,127.0034858166,1
473,정선옹주 묘역,37.5020034970,126.8278087964,1
474,중명전,37.5666207957,126.9725215638,1
475,경희궁,37.5704425020,126.9685079323,1
476,오목공원,37.5275902300,126.8736538992,1
477,호암산성,37.4474946828,126.9131692166,1
478,유심사,37.5815082151,126.9870198203,1
479,봉화산(서울),37.6086568514,127.0866155277,1
480,고당조만식선생동상,37.5500801547,127.0771625000,1
481,봉은사(서울),37.5158782211,127.0577485719,1
482,익선동,37.5735203041,126.9897920161,1
483,보라매안전체험관,37.4929339232,126.9172397911,1
484,청와대 앞길,37.5835410742,126.9737681926,1
485,오동근린공원,37.6329891526,127.0321864624,1
486,학도암(서울),37.6519935361,127.0897584489,1
487,성덕사,37.6034935650,127.0867351085,1
488,내원사(서울),37.6266725544,126.9951622409,1
489,금선사(서울),37.6207780461,126.9534467684,1
490,자운암(서울),37.4487397158,126.9542210004,1
491,상허이태준가옥(수연산방),37.5950623345,126.9947965053,1
492,종묘 [유네스코 세계문화유산],37.5731898785,126.9948998937,1
493,"서울 헌릉(태종,원경왕후)과 인릉(순조,순원왕후) [유네스코 세계문화유산]",37.4653567754,127.0837087516,1
494,육군사관학교,37.6234664798,127.0998333455,1
495,레일크루즈 해랑열차,37.5548277077,126.9717164149,1
496,롯데호텔서울 설화수 스파,37.5654794250,126.9816346542,1
497,망원정지,37.5498715280,126.9046921083,1
498,용산가족공원,37.5201069720,126.9845717812,1
499,북한산국립공원(서울),37.6215453578,126.9943263511,1
500,서울 남현동 요지,37.4748538047,126.9796068440,1
501,어린이 감각놀이터 디키디키,37.5681962916,127.0103125191,1
502,국제음식문화거리(INTERNATIONAL FOOD STREET),37.5058319638,126.8914195585,1
503,마로니에공원,37.5802419773,127.0027239807,1
504,창덕궁 향나무,37.5792862950,126.9894641053,1
505,롯데월드타워&롯데월드몰,37.5126349603,127.1025918048,1
506,송재서재필선생상,37.5745084649,126.9556062153,1
507,도선사(서울),37.6552274686,126.9897341460,1
508,아시아공원,37.5100820131,127.0767025661,1
509,서울 정동교회,37.5654653714,126.9723466121,1
510,서울 관상감 관천대,37.5781419576,126.9880281575,1
511,율곡로,37.5769838749,126.9944914897,1
512,순국선열추념탑,37.5729253140,126.9555284897,1
513,서울 우정총국,37.5744256247,126.9825759817,1
514,경희궁공원,37.5707591425,126.9691050910,1
515,용양봉저정 공원,37.5124879286,126.9575327922,1
516,보광사(서울),37.5271063892,126.9973954154,1
517,의열사(용산),37.5452647296,126.9605427036,1
518,공덕동 족발 골목,37.5444202509,126.9531378467,1
519,여의도샛강생태공원,37.5187393412,126.9218442005,1
520,아차산,37.5529441189,127.0998297997,1
521,북악산,37.5928898572,126.9665491417,1
522,서울 경교장,37.5683899481,126.9677163958,1
523,탑골공원,37.5710594522,126.9883005554,1
524,대원군별장 (석파정),37.5991223247,126.9586719057,1
525,도산공원,37.5214632538,127.0338117034,1
